register_hex,register_name,register_purpose,value_meaning_or_pair,manual_pdf_page,720p_15_current_hex,720p_15_mainline_hex,720p_15_network_hex,720p_30_current_hex,720p_30_mainline_hex,720p_30_network_hex,xga_15_current_hex,xga_15_mainline_hex,xga_15_network_hex,xga_30_current_hex,xga_30_mainline_hex,xga_30_network_hex,reference_scope_and_notes
0x3002,SYSTEM_RESET01,"Reset JFIFO/SFIFO/JPEG blocks","0x1c resets the JPEG-related FIFOs in the legacy table",N/A,0x1c,N/A,0x1c,0x1c,N/A,0x1c,0x1c,N/A,N/A,0x1c,N/A,N/A,"Sources for all rows: current driver src/ov5640/ov5640.c; Linux mainline https://github.com/torvalds/linux/blob/master/drivers/media/i2c/ov5640.c; network 720P https://www.arducam.com/downloads/modules/OV5640/OV5640_Software_app_note_parallel.pdf (PDF pp.22-23); network XGA https://github.com/ArduCAM/RaspberryPi/blob/master/SPI_Camera/src/ov5640_regs.h#L682-L708. Mainline mode tables do not write this register."
0x3006,CLOCK_ENABLE02,"JPEG/JFIFO clock enable control","0xc3 is the legacy table value",N/A,0xc3,N/A,0xc3,0xc3,N/A,0xc3,0xc3,N/A,N/A,0xc3,N/A,N/A,"Mainline mode tables do not write this register; network XGA size-only table does not write it."
0x3034,SC_PLL_CTRL0,"PLL charge pump and MIPI bit mode","low nibble 0x0a=10-bit in current legacy table; 0x08=8-bit in mainline DVP runtime path",83,N/A,0x18,N/A,N/A,0x18,N/A,0x1a,0x18,N/A,0x1a,0x18,N/A,"Mainline values are runtime writes under 24MHz XCLK/YUV422/8-bit DVP assumptions, not static-table literals. Current 720P inherits 0x1a from global initialization, so it is not present in its mode table."
0x3035,SC_PLL_CTRL1,"System clock divider and MIPI divider","bits[7:4]=SysDiv; current 0x41 means SysDiv=4; 0x21 means SysDiv=2",83,0x41,0x50,0x41,0x21,0x20,0x21,0x21,0x40,N/A,0x21,0x20,N/A,"Mainline values are calculated runtime values: 720P@15 selects SysDiv=5; 720P@30 selects SysDiv=2; XGA@15 selects SysDiv=4; XGA@30 selects SysDiv=2. Network 720P@30 says it inherits 15fps settings except 0x3035=0x21."
0x3036,SC_PLL_CTRL2,"PLL multiplier","literal multiplier: 0x69=105; 0x46=70; mainline values are computed multipliers",83,0x69,0x6a,0x69,0x69,0x55,0x69,0x46,0x7b,N/A,0x69,0x7b,N/A,"Mainline calculated values under 24MHz XCLK/YUV422/8-bit DVP: 720P@15 multiplier=106; 720P@30 multiplier=85; XGA multiplier=123. Network XGA JPEG/SPI size table does not configure PLL."
0x3037,SC_PLL_CTRL3,"PLL root divider and pre-divider","0x13 means root divider=2 and pre-divider=3",83,N/A,0x13,N/A,N/A,0x13,N/A,0x13,0x13,N/A,0x13,0x13,N/A,"Current 720P inherits 0x13 from global initialization. Mainline runtime writes 0x13 for the stated assumptions."
0x3503,AEC_PK_MANUAL,"AEC/AGC manual control","0x00 enables automatic AEC/AGC",N/A,0x00,N/A,0x00,0x00,N/A,0x00,N/A,N/A,N/A,N/A,N/A,N/A,"Current and network 720P explicitly enable automatic AEC/AGC. XGA current table and mainline/network size table do not write it."
0x3612,ANALOG_CONTROL,"Analog control register","mode-table tuning value 0x29",N/A,0x29,0x29,0x29,0x29,0x29,0x29,0x29,0x29,N/A,0x29,0x29,N/A,"Datasheet does not provide a concise functional description for this tuning value; compare as vendor tuning."
0x3618,ANALOG_CONTROL,"Analog control register","mode-table tuning value 0x00",N/A,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,N/A,0x00,0x00,N/A,"Datasheet does not provide a concise functional description for this tuning value; compare as vendor tuning."
0x3709,SENSOR_CONTROL,"Sensor analog/digital tuning","mode-table tuning value 0x52",N/A,0x52,0x52,0x52,0x52,0x52,0x52,0x52,0x52,N/A,0x52,0x52,N/A,"Treat as vendor tuning; the network XGA size-only table does not write it."
